Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2016-03-10T18:00:00Z,MDY,231.82360604,-456,Market,Filled,-105711.56435424,stop-loss - Warning: No quote information available at 03/10/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-10T18:00:00Z,EEM,29.19378123,-3614,Market,Filled,-105506.32536522,stop-loss - Warning: No quote information available at 03/10/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-10T21:00:00Z,EEM,29.95796871,3608,Market On Open,Filled,108088.35110568, 
2016-03-11T15:00:00Z,FB,108.61,984,Market,Filled,106872.24,Warning: No quote information available at 03/11/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-11T15:00:00Z,UNH,113.38442375,-933,Market,Filled,-105787.66735875,take-profit - Warning: No quote information available at 03/11/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-11T15:00:00Z,EBAY,23.119762022,4626,Market,Filled,106952.01911377,Warning: No quote information available at 03/11/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-11T16:00:00Z,PFE,23.204245593884,4611,Market,Filled,106994.7764334,Warning: No quote information available at 03/11/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-11T18:00:00Z,MSFT,48.203145527,2221,Market,Filled,107059.18621547,Warning: No quote information available at 03/11/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-14T14:00:00Z,NFLX,98.67,1084,Market,Filled,106958.28,Warning: No quote information available at 03/14/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-14T14:00:00Z,IAU,24.06,-4402,Market,Filled,-105912.12,stop-loss - Warning: No quote information available at 03/14/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-15T15:00:00Z,PFE,22.911106853004,-4611,Market,Filled,-105643.1136992,stop-loss - Warning: No quote information available at 03/15/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-15T15:00:00Z,ATVI,31.476757792,3393,Market,Filled,106800.63918826,Warning: No quote information available at 03/15/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-15T15:00:00Z,CME,80.686620872,-1377,Market,Filled,-111105.47694074,take-profit - Warning: No quote information available at 03/15/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-16T14:00:00Z,EBAY,22.137581378,-4626,Market,Filled,-102408.45145463,stop-loss - Warning: No quote information available at 03/16/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-16T17:00:00Z,MDY,236.09155044,452,Market,Filled,106713.38079888,Warning: No quote information available at 03/16/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-16T20:00:00Z,GOOGL,757.65,142,Market On Open,Filled,107586.3, 
2016-03-16T20:00:00Z,AMD,2.76,41059,Market On Open,Filled,113322.84, 
2016-03-16T20:00:00Z,PYPL,39.85,2710,Market On Open,Filled,107993.5, 
2016-03-16T20:00:00Z,MA,86.964185728,1240,Market On Open,Filled,107835.59030272, 
2016-03-17T14:00:00Z,FB,111.4,-984,Market,Filled,-109617.6,take-profit - Warning: No quote information available at 03/17/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-17T14:00:00Z,EEM,30.43103715,-3608,Market,Filled,-109795.1820372,take-profit - Warning: No quote information available at 03/17/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-17T16:00:00Z,MSFT,50.047630353,-2221,Market,Filled,-111155.78701401,take-profit - Warning: No quote information available at 03/17/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-17T16:00:00Z,ATVI,30.83221538,-3393,Market,Filled,-104613.70678434,stop-loss - Warning: No quote information available at 03/17/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-17T17:00:00Z,MDY,239.96981296,-452,Market,Filled,-108466.35545792,take-profit - Warning: No quote information available at 03/17/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-18T14:00:00Z,AMD,2.83,-41059,Market,Filled,-116196.97,take-profit - Warning: No quote information available at 03/18/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-18T14:00:00Z,NVDA,8.2549759375,-13503,Market,Filled,-111466.94008406,take-profit - Warning: No quote information available at 03/18/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-18T14:00:00Z,MA,89.091868208,-1240,Market,Filled,-110473.91657792,take-profit - Warning: No quote information available at 03/18/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-21T14:00:00Z,SQ,12.58,8687,Market,Filled,109282.46,Warning: No quote information available at 03/21/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-21T18:00:00Z,CME,79.558136664,1377,Market,Filled,109551.55418633,Warning: No quote information available at 03/21/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-03-21T20:00:00Z,MSFT,49.052339036,2239,Market On Open,Filled,109828.1871016, 
2016-03-21T20:00:00Z,SQ,13.22,-8687,Market On Open,Filled,-114842.14,take-profit 
2016-03-22T14:00:00Z,PYPL,41.33,-2710,Market,Filled,-112004.3,take-profit - Warning: No quote information available at 03/22/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-22T15:00:00Z,IAU,24.18,4546,Market,Filled,109922.28,Warning: No quote information available at 03/22/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-22T17:00:00Z,TWTR,16.97,6484,Market,Filled,110033.48,Warning: No quote information available at 03/22/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-22T19:00:00Z,UNH,117.51584,935,Market,Filled,109877.3104,Warning: No quote information available at 03/22/2016 15:00:00 America/New_York, order filled using TradeBar data 
2016-03-23T14:00:00Z,IAU,23.48,-4546,Market,Filled,-106740.08,stop-loss - Warning: No quote information available at 03/23/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-23T14:00:00Z,TWTR,16.57,-6484,Market,Filled,-107439.88,stop-loss - Warning: No quote information available at 03/23/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-23T15:00:00Z,NVDA,8.4193395,12995,Market,Filled,109409.3168025,Warning: No quote information available at 03/23/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-03-23T17:00:00Z,MA,89.440034432,1224,Market,Filled,109474.60214477,Warning: No quote information available at 03/23/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-24T16:00:00Z,EBAY,23.360492572,4646,Market,Filled,108532.84848951,Warning: No quote information available at 03/24/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-24T16:00:00Z,MA,88.559947588,-1224,Market,Filled,-108397.37584771,stop-loss - Warning: No quote information available at 03/24/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-03-24T20:00:00Z,SQ,13.11,8458,Market On Open,Filled,110884.38, 
2016-03-28T14:00:00Z,FB,113.22,963,Market,Filled,109030.86,Warning: No quote information available at 03/28/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-28T17:00:00Z,ATVI,31.267386904,3501,Market,Filled,109467.1215509,Warning: No quote information available at 03/28/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-03-29T14:00:00Z,EBAY,22.6286717,-4646,Market,Filled,-105132.8087182,stop-loss - Warning: No quote information available at 03/29/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-03-29T14:00:00Z,CME,78.4130571,-1377,Market,Filled,-107974.7796267,stop-loss - Warning: No quote information available at 03/29/2016 10:00:00 America/New_York, order filled using TradeBar data 
